creationDate|deletionDate|explicitlyDeleted|id|firstName|lastName|gender|birthday|locationIP|browserUsed|LocationCityId|language|email
2010-01-03T15:10:31.499+00:00|2019-12-30T00:00:00.000+00:00|false|14|Hossein|Forouhar|male|1984-03-11|77.245.239.11|Firefox|1166|fa;ku;en|Hossein14@hotmail.com
2010-01-31T13:13:03.929+00:00|2019-12-30T00:00:00.000+00:00|false|16|Jan|Zakrzewski|female|1986-07-05|31.41.169.140|Chrome|1284|pl;en|Jan16@hotmail.com;Jan16@gmx.com;Jan16@gmail.com;Jan16@chemist.com;Jan16@yahoo.com
2010-01-19T13:51:10.863+00:00|2019-12-30T00:00:00.000+00:00|false|27|Wojciech|Ciesla|male|1985-12-07|31.182.127.125|Internet Explorer|1282|pl;en|Wojciech27@gmail.com;Wojciech27@yahoo.com;Wojciech27@gmx.com;Wojciech27@zoho.com
2010-01-19T23:03:07.674+00:00|2019-12-30T00:00:00.000+00:00|false|33|Ali|Ferrer|female|1981-05-30|41.223.177.12|Safari|969|ar;fr;en|Ali33@hotmail.com;Ali33@zoho.com;Ali33@gmail.com;Ali33@yahoo.com;Ali33@gmx.com
2010-01-09T18:37:17.970+00:00|2019-12-30T00:00:00.000+00:00|false|47|Tissa|Perera|male|1983-05-09|103.1.176.97|Safari|1356|ta;si;en|Tissa47@gmx.com;Tissa47@gmail.com;Tissa47@yahoo.com
2010-01-02T21:05:50.470+00:00|2019-12-30T00:00:00.000+00:00|false|66|Deepak|Khan|male|1980-10-10|49.12.225.25|Chrome|177|bn;mr;en|Deepak66@gmx.com;Deepak66@gmail.com
2010-01-15T16:52:19.115+00:00|2019-12-30T00:00:00.000+00:00|false|79|Jose|Pereira|male|1980-07-18|193.136.95.244|Firefox|1292|pt;en|Jose79@gmail.com;Jose79@yahoo.com;Jose79@gmx.com;Jose79@hotmail.com;Jose79@zoho.com
2010-01-17T12:10:27.592+00:00|2019-12-30T00:00:00.000+00:00|false|100|Nicolas|Diaz|male|1982-07-20|190.5.24.199|Chrome|975|es;en|Nicolas100@gmx.com;Nicolas100@hotmail.com;Nicolas100@gmail.com;Nicolas100@yahoo.com
2010-01-28T04:16:14.101+00:00|2019-12-30T00:00:00.000+00:00|false|113|Abhishek|Singh|male|1982-12-07|61.95.201.3|Internet Explorer|161|hi;ta;en|Abhishek113@4-music-today.com
2010-02-17T03:21:38.348+00:00|2019-12-30T00:00:00.000+00:00|false|137|Eduardo|Gonzalez|male|1981-03-28|186.10.61.96|Firefox|1050|es;de;en|Eduardo137@yahoo.com;Eduardo137@gmail.com
2010-01-11T02:56:49.416+00:00|2019-12-30T00:00:00.000+00:00|false|141|Yang|Li|male|1987-05-07|1.4.4.242|Chrome|502|zh;en|Yang141@gmail.com
2010-02-19T12:42:14.255+00:00|2019-12-30T00:00:00.000+00:00|false|167|Abhishek|Nair|male|1982-03-25|101.212.192.75|Firefox|117|te;ta;en|Abhishek167@gmx.com;Abhishek167@yahoo.com
