t1.LocationCityId|t1.firstName|t1.birthday|t2.name
1166|Amin|1989-04-23|Tehran
1166|Ahmad|1985-03-17|Tehran
1166|Mohammad Reza|1985-09-10|Tehran
1166|Mohammad|1980-12-31|Tehran
1166|Hassan|1980-12-27|Tehran
1166|Hossein|1984-03-11|Tehran
1284|Edward|1982-06-25|Kraków
1284|Jerzy|1986-10-13|Kraków
1284|Michal|1986-07-02|Kraków
1284|Bartosz|1988-11-26|Kraków
1284|Jan|1986-07-05|Kraków
1284|Wojciech|1980-09-27|Kraków
1284|Jerzy|1981-12-19|Kraków
1284|Zygmunt|1983-08-17|Kraków
1282|Krzysztof|1988-12-10|Katowice
1282|Zbigniew|1985-05-20|Katowice
1282|Witold|1983-09-19|Katowice
1282|Pawel|1984-10-01|Katowice
1282|Tadeusz|1986-11-10|Katowice
1282|Andrzej|1989-09-23|Katowice
1282|Wojciech|1985-12-07|Katowice
1282|Piotr|1987-09-02|Katowice
969|Mohamed|1986-11-06|Oran
969|Jacques|1983-02-23|Oran
969|Ahmed|1989-03-03|Oran
969|Bouazza|1983-09-08|Oran
969|Jean|1989-02-19|Oran
969|Abdelmadjid|1982-04-21|Oran
969|Ali|1981-05-30|Oran
1356|Tissa|1983-05-09|Nugegoda
1356|M|1985-09-29|Nugegoda
1356|P.|1989-09-17|Nugegoda
1356|Bandula|1981-07-14|Nugegoda
1356|Lasantha|1986-01-18|Nugegoda
1356|Tissa|1981-11-17|Nugegoda
177|A.|1984-04-20|Kota
177|Rahul|1984-01-31|Kota
177|Rahul|1988-08-25|Kota
177|Deepak|1982-08-13|Kota
177|Deepak|1980-10-10|Kota
177|A.|1981-12-01|Kota
1292|Rui|1980-11-02|Coimbra
1292|Carlos|1980-03-20|Coimbra
1292|Manuel|1983-06-21|Coimbra
1292|Luis|1982-12-31|Coimbra
1292|Henrique|1989-08-31|Coimbra
1292|Carlos|1989-10-05|Coimbra
1292|Jose|1989-07-06|Coimbra
1292|Antonio|1982-04-14|Coimbra
1292|Manuel|1980-01-12|Coimbra
1292|Fernando|1981-05-14|Coimbra
1292|Jose|1980-07-18|Coimbra
1292|Artur|1986-09-24|Coimbra
1292|Paulo|1980-12-07|Coimbra
975|Roberto|1980-10-30|San_Martín
975|Enrique|1983-02-24|San_Martín
975|Pablo|1988-04-30|San_Martín
975|Nicolas|1982-07-20|San_Martín
975|Sebastian|1983-10-03|San_Martín
975|Ricardo|1983-03-17|San_Martín
975|Alejandro|1986-11-16|San_Martín
975|Adolfo|1985-02-18|San_Martín
161|Aditya|1983-02-04|Amritsar
161|Ashok|1982-01-31|Amritsar
161|Abhishek|1982-12-07|Amritsar
161|Abhishek|1980-05-15|Amritsar
161|C. S.|1987-12-16|Amritsar
161|Kunal|1987-10-17|Amritsar
161|K.|1986-04-24|Amritsar
161|A.|1980-07-18|Amritsar
161|Shweta|1985-04-08|Amritsar
161|John|1989-05-01|Amritsar
161|Shweta|1987-09-28|Amritsar
161|Deepak|1984-03-05|Amritsar
161|A.|1989-10-24|Amritsar
1050|Fernando|1982-11-25|Valdivia
1050|Rodrigo|1986-09-11|Valdivia
1050|Alejandro|1987-07-06|Valdivia
1050|Boris|1983-09-26|Valdivia
1050|Eduardo|1981-03-28|Valdivia
1050|Carlos|1984-11-06|Valdivia
1050|Eduardo|1989-10-09|Valdivia
502|Yang|1987-05-07|Kowloon
502|Hao|1989-09-18|Kowloon
502|Yang|1982-04-14|Kowloon
502|Peng|1986-05-22|Kowloon
502|Jun|1988-05-24|Kowloon
502|Benedict|1984-01-11|Kowloon
502|Peng|1987-01-22|Kowloon
502|Ning|1985-01-15|Kowloon
502|Bingbing|1987-06-18|Kowloon
117|A.|1988-02-25|Jiaganj_Azimganj
117|Rahul|1983-10-17|Jiaganj_Azimganj
117|Deepak|1983-08-04|Jiaganj_Azimganj
117|Anupam|1985-09-21|Jiaganj_Azimganj
117|Arjun|1985-11-22|Jiaganj_Azimganj
117|Arjun|1988-10-23|Jiaganj_Azimganj
117|Joseph|1986-12-21|Jiaganj_Azimganj
117|Sanjay|1988-05-11|Jiaganj_Azimganj
117|Amit|1981-09-05|Jiaganj_Azimganj
117|Abhishek|1982-03-25|Jiaganj_Azimganj
