t1.id|t1.name|t2.id|t2.firstName|t2.lastName|t2.birthday|t2.locationIP|t2.browserUsed|t2.gender|t2.creationDate
111|Pondicherry|8796093023472|K.|Bose|1981-03-13|61.17.197.42|Safari|female|2010-10-25T15:49:11.175+00:00
111|Pondicherry|10995116284136|Deepak|Singh|1981-07-04|61.246.8.30|Chrome|male|2010-11-21T19:14:15.014+00:00
111|Pondicherry|13194139539328|Abhishek|Sharma|1985-05-24|61.0.85.8|Firefox|male|2011-02-17T14:55:15.461+00:00
111|Pondicherry|17592186051103|Deepak|Sharma|1982-08-30|27.106.97.149|Internet Explorer|male|2011-06-11T09:05:44.589+00:00
111|Pondicherry|32985348839950|K.|Anand|1983-12-27|103.1.131.80|Firefox|female|2012-09-05T14:07:47.356+00:00
111|Pondicherry|37383395348360|Nikhil|Nair|1983-02-07|1.7.165.190|Safari|female|2012-11-14T12:14:21.634+00:00
111|Pondicherry|8653|Arun|Singh|1989-12-23|27.54.169.45|Chrome|female|2010-01-09T23:39:35.937+00:00
112|Rewari|26388279073539|Deepak|Chopra|1984-02-07|49.143.254.95|Firefox|male|2012-02-15T04:43:35.947+00:00
112|Rewari|37383395346899|Arjun|Rai|1986-02-26|103.1.196.172|Internet Explorer|female|2012-11-24T10:41:31.971+00:00
112|Rewari|26388279069478|Kunal|Kumar|1989-05-31|27.106.45.71|Firefox|male|2012-01-08T08:32:44.968+00:00
112|Rewari|10995116281191|Shweta|Singh|1985-04-24|27.123.219.120|Chrome|male|2010-11-05T22:15:02.318+00:00
112|Rewari|15393162792128|John|Singh|1982-12-08|27.123.75.169|Chrome|male|2011-03-12T06:04:34.464+00:00
112|Rewari|10995116278456|Arjun|Irani|1989-08-16|27.34.248.64|Internet Explorer|female|2010-11-09T10:47:23.893+00:00
112|Rewari|37383395347187|John|Joshi|1986-01-09|27.54.173.239|Chrome|male|2012-11-29T14:19:53.992+00:00
112|Rewari|35184372091739|Deepak|Sharma|1987-03-02|61.17.150.243|Chrome|male|2012-10-21T21:42:46.502+00:00
113|Mysore|6597069771739|A.|Reddy|1989-08-28|101.213.151.92|Internet Explorer|female|2010-07-29T23:14:49.756+00:00
113|Mysore|2199023255776|A.|Prasad|1983-08-22|27.248.153.87|Chrome|female|2010-03-09T04:51:40.823+00:00
113|Mysore|3380|Nikhil|Kumar|1980-11-10|14.143.24.189|Firefox|female|2010-02-01T11:42:16.494+00:00
113|Mysore|37383395353297|Sanjay|Rao|1981-10-08|27.125.202.109|Firefox|male|2012-11-25T18:15:56.990+00:00
113|Mysore|26388279068667|John|Kumar|1982-01-29|1.38.105.87|Firefox|male|2012-03-02T04:16:55.606+00:00
113|Mysore|15393162791211|Arjun|Singh|1982-02-24|61.95.197.210|Firefox|female|2011-05-04T09:18:19.375+00:00
113|Mysore|13194139540003|Abhishek|Khan|1985-04-04|27.116.23.41|Internet Explorer|male|2011-01-30T17:36:33.923+00:00
114|Thane|28587302326857|Javed|Khan|1985-12-15|59.162.113.28|Firefox|male|2012-03-25T02:33:47.630+00:00
114|Thane|24189255815265|John|Reddy|1986-01-12|14.194.16.151|Internet Explorer|male|2011-12-27T10:45:40.421+00:00
114|Thane|37383395353099|Deepak|Khan|1988-09-17|103.1.103.237|Safari|male|2012-12-20T07:57:48.503+00:00
114|Thane|37383395351800|Shweta|Rao|1984-09-23|27.106.120.56|Chrome|male|2012-11-25T15:11:59.924+00:00
115|Shibpur|21990232559362|A.|Sharma|1987-01-02|101.57.202.165|Safari|female|2011-10-23T09:07:19.975+00:00
115|Shibpur|21990232556281|Arjun|Sharma|1983-06-25|27.48.217.243|Chrome|female|2011-10-21T18:58:56.067+00:00
115|Shibpur|15393162792761|A.|Sharma|1986-05-16|49.207.131.54|Firefox|female|2011-03-11T03:59:21.545+00:00
116|Rohtak|8796093026785|Abhishek|Singh|1987-09-04|61.95.199.120|Internet Explorer|male|2010-10-30T03:12:50.335+00:00
116|Rohtak|13194139543683|K.|Khan|1988-01-19|61.1.192.73|Opera|female|2011-02-06T04:09:09.896+00:00
116|Rohtak|37383395349264|Rahul|Kumar|1985-10-09|103.1.126.137|Firefox|female|2012-12-11T18:06:12.369+00:00
116|Rohtak|17592186048428|Deepak|Kumar|1980-05-25|61.0.251.50|Safari|male|2011-06-16T17:01:18.332+00:00
